ku,枯,literary,,,
kù,故,colloquial,,,
kù,顾,colloquial,,,
kǔ,久,colloquial,,,
kǔ,估,colloquial,,,
kǔ,古,same,,,
kǔ,鼓,same,,,
kǔ,股,same,,,
kû,旧,colloquial,,,
kû,舅,colloquial,,,
khù,袴,colloquial,,,
khǔ,苦,colloquial,,,
?ú,乌,colloquial,,,
?u,有,colloquial,,,
?ǔ,□,colloquial,“姬?”(巫婆),,
?û,有,colloquial,(但 ?u 更为常见),,
pó,煲,colloquial,(煮沸，烹调),,
pó,波,same,,,
pó,簸,same,,,
pó,坡,literary,,,
po,婆,colloquial,□ (球),,
po,播,literary,,,
pò,报,colloquial,,,
pò,播,colloquial,,,
pǒ,保,colloquial,,,
pǒ,宝,colloquial,,,
pǒ,颇,literary,,,
pho,袍,colloquial,,,
pho,破,literary,,,
phô,抱,colloquial,,,
phô,婆,literary,,,
mó,么,literary,,,
mó,魔,literary,,,
mó,摩,literary,,,
mo,毛,colloquial,,,
mo,冇,colloquial,(没有，无),,
mô,帽,colloquial,,,
mô,磨,literary,,,
wó,□,colloquial,FP 倭,,
wo,祸,literary,,,
wô,祸,colloquial,,,
wô,话,colloquial,□ FP,,
wô,和,literary,,,
wô,禾,literary,,,
tó,刀,colloquial,,,
tó,多,same,,,
to,驼,colloquial,,,
to,道,colloquial,,,
to,到,colloquial,,,
to,□,colloquial,(副词后缀),,
to,惰,literary,,,
tǒ,倒,colloquial,,,
tǒ,朵,same,,,
tǒ,躲,literary,,,
tô,道,colloquial,,,
tô,到,colloquial,□ tônàj (哪里),,
tho,佗,colloquial,,,
tho,驼,colloquial,,,
thǒ,讨,colloquial,(婚娶),,
thǒ,□,colloquial,(选取),,
thǒ,妥,same,,,
thô,佗,literary,,,
thô,驼,literary,,,
no,糯,colloquial,,,
nǒ,恼,colloquial,,,
nô,那,literary,,,
lo,罗,colloquial,,,
lo,劳,colloquial,,,
lo,牢,colloquial,,,
lo,螺,colloquial,,,
lò,蝲,colloquial,"khamlò ""蟾蜍""",,
lŏ,佬,colloquial,"sèlŏ ""细佬"" (弟弟)",,
lŏ,裸,same,,,
lô,□,colloquial,FP,,
lô,罗,literary,,,
lô,螺,literary,,,
co,坐,literary,,,
co,座,literary,,,
co,助,literary,,,
cò,做,colloquial,,,
cŏ,枣,colloquial,,,
cŏ,左,same,,,
cŏ,阻,same,,,
cô,座,colloquial,,,
cô,助,colloquial,,,
thó,磋,colloquial,,,
thó,初,same,l: 初 =,,
cho,锄,colloquial,,,
cho,剉,literary,,,
cho,锉,literary,,,
chò,剉,colloquial,,,
chò,锉,colloquial,,,
chò,错,colloquial,,,
chŏ,楚,same,,,
chô,锄,literary,,,
só,梳,literary,,,
só,蔬,literary,,,
só,疏,literary,,,
sŏ,嫂,colloquial,,,
sŏ,销,same,,,
sŏ,所,same,,,
sô,□,colloquial,sôqít (前天),,
jó,约,colloquial,"jómò? ""哟 咦"" (大约)",,
kó,糕,colloquial,,,
kó,哥,same,,,
kó,歌,same,,,
