Line 4027: 蜊 | XHZD: li (li) | CEDICT: ['li2']
Line 4028: 璃 | XHZD: lì (li4) | CEDICT: ['li2']
Line 4053: 浰 | XHZD: liàn (lian4) | CEDICT: ['li4']
Line 4060: 裢 | XHZD: lian (lian) | CEDICT: ['lian2']
Line 4093: 窌 | XHZD: liáo (liao2) | CEDICT: ['jiao4']
Line 4124: 裂 | XHZD: liě (lie3) | CEDICT: ['lie4']
Line 4135: 脬 | XHZD: liè (lie4) | CEDICT: ['pao1']
Line 4147: 𬘭 | XHZD: lín (lin2) | CEDICT: ['chen1']
Line 4184: 昤 | XHZD: líng (ling2) | CEDICT: ['ling1']
Line 4201: 崚 | XHZD: líng（又） (ling2) | CEDICT: ['leng2']
Line 4218: 蹓 | XHZD: liū (liu1) | CEDICT: ['liu4']
Line 4248: 镏 | XHZD: liù (liu4) | CEDICT: ['liu2']
Line 4272: 𬕂 | XHZD: lǒng (long3) | CEDICT: ['gong1']
Line 4281: 𪣻 | XHZD: lóu (lou2) | CEDICT: ['lou3']
Line 4330: 绿 | XHZD: lù (lu4) | CEDICT: ['lv4']
Line 4354: 轳 | XHZD: lu (lu) | CEDICT: ['lu2']
Line 4355: 氇 | XHZD: lu (lu) | CEDICT: ['lu3']
Line 4429: 跞 | XHZD: luò (luo4) | CEDICT: ['li4']
Line 4436: 硌 | XHZD: luò (luo4) | CEDICT: ['ge4']
Line 4440: 漯 | XHZD: luò (luo4) | CEDICT: ['ta4']
Line 4441: 㑩 | XHZD: luo (luo) | CEDICT: ['luo2']
Line 4443: 呒 | XHZD: ḿ () | CEDICT: ['m2', 'fu3']
Line 4444: 呣 | XHZD: ḿ () | CEDICT: ['m2', 'm4']
Line 4445: 呣 | XHZD: m̀ (m) | CEDICT: ['m2', 'm4']
Line 4446: 孖 | XHZD: mā (ma1) | CEDICT: ['zi1']
Line 4450: 摩 | XHZD: mā (ma1) | CEDICT: ['mo2']
Line 4472: 劢 | XHZD: mǎi (mai3) | CEDICT: ['mai4']
Line 4480: 嫚 | XHZD: mān (man1) | CEDICT: ['man4']
Line 4481: 颟 | XHZD: mài (mai4) | CEDICT: ['man1']
Line 4483: 蛮 | XHZD: mái (mai2) | CEDICT: ['man2']
Line 4484: 谩 | XHZD: mái (mai2) | CEDICT: ['man4', 'man2']
Line 4486: 馒 | XHZD: mái (mai2) | CEDICT: ['man2']
Line 4487: 鳗 | XHZD: mái (mai2) | CEDICT: ['man2']
Line 4489: 瞒 | XHZD: mái (mai2) | CEDICT: ['man2']
Line 4501: 嫚 | XHZD: mān (man1) | CEDICT: ['man4']
Line 4516: 厖 | XHZD: máng (mang2) | CEDICT: ['pang2']
Line 4536: 茆 | XHZD: mǎo又máo (maomao2) | CEDICT: ['mao2', 'mao3']
Line 4590: 们 | XHZD: mén (men2) | CEDICT: ['men5']
Line 4595: 呇 | XHZD: mèn (men4) | CEDICT: ['qi3']
Line 4596: 闷 | XHZD: mén (men2) | CEDICT: ['men1', 'men4']
Line 4597: 焖 | XHZD: mén (men2) | CEDICT: ['men4']
Line 4598: 懑 | XHZD: mén (men2) | CEDICT: ['men4']
Line 4601: 尨 | XHZD: méng (meng2) | CEDICT: ['mang2', 'pang2']
Line 4613: 鹴 | XHZD: méng (meng2) | CEDICT: ['shuang1']
Line 4632: 祢 | XHZD: mí（旧读nǐ） (mini3) | CEDICT: ['ni3', 'mi2']
Line 4651: 沕 | XHZD: mì (mi4) | CEDICT: ['wu4']
Line 4662: 蓂 | XHZD: mì (mi4) | CEDICT: ['ming2']
Line 4680: 渑 | XHZD: miǎn (mian3) | CEDICT: ['sheng2']
