把,9,左栏第2条,bǎ,一级,7画,"❶拿，抓住：～盏|两手～住门。
❷控制，掌握：～舵|～犁。
［把持］专权，一手独揽，不让他人参与：～财权。
［把握］1.掌握，控制，有效地处理：～时机。2.事情成功的可靠性：这次试验，他很有～。
❸把守，看守：～门|～风（守候，防有人来）。
❹手推车、自行车等的柄：车～。
❺（–儿）可以用手拿的小捆：草～儿。
❻介词，表示后边的名词所指的人或物是处置的对象：～一生献给党|～衣服洗干净了。
❼量词。1.用于有柄的东西：一～刀|一～扇子。2.用于可以一手抓的东西：一～粮食一～汗。3.用于某些抽象的事物：一～年纪|努～力。
❽助词，放在量词或“百、千、万”等数词的后面，表示约略估计：丈～高的树|个～月以前|有百～人。
❾指拜把子（结为异姓兄弟）的关系：～兄。
［把式］（–shi）也作“把势”。1.武术：练～。2.专精一种技术的人：车～（赶车的）。
［把戏］魔术、杂耍一类的技艺。喻：手段，诡计：你又想玩什么～？
另见bà。"
钯,9,右栏第1条,bǎ,二级,9画,金属元素，符号Pd，原子序数46。银白色，能吸收大量的氢，可用来制催化剂。它的合金可制电器、仪表等。另见pá。
靶,9,右栏第2条,bǎ,一级,13画,（–子）练习射击用的目标：打～|～心。
坝（③垻、壩）,9,右栏第3条,bà,一级,7画,"❶截住河流的建筑物：拦河～。
❷河工险要处巩固堤防的建筑物。
❸（–子）〈方〉平地。常用于西南各省市地名。"
把（**欛）,9,右栏第4条,bà,一级,7画,"（–儿）物体上便于手拿的部分，柄：刀～儿|茶壶～儿。
［话把儿］被人作为谈笑资料的言论或行为。
另见bǎ。"
爸,9,右栏第5条,bà,一级,8画,称呼父亲（叠）。
耙（**䎱）,9,右栏第6条,bà,一级,10画,"❶用来把土块弄碎、弄平的农具：钉齿～|圆盘～。
❷用耙弄碎土块：地已经～过了。
另见pá。"
𫜨（䶕）,9,右栏第7条,bà,无,12画,〈方〉牙齿外露：～牙。
罢（罷）,9,右栏第8条,bà,一级,10画,"❶停，歇（连：–休）：～工|～手|欲～不能。
❷免去（官职）（连：–免）：～官|～职。
❸完毕：吃～饭。
〈古〉又同“疲”（pí）。
另见ba。"
鲅（鮁）,10,左栏第1条,bà,二级,13画,鱼名，即马鲛，身体侧扁而长，性凶猛，生活在海洋里。
鲌（鮊）,10,左栏第2条,bà,三级,13画,"同“鲅”。
另见bó。"
霸（*覇）,10,左栏第3条,bà,一级,21画,❶依靠权势横行无忌，迫害他人的人：他过去是码头上的一～。引：以武力或经济力量侵略、压迫别国，扩大自己势力的国家。［霸道］1.蛮横（hèng）：横行～。2.（–dao）猛烈的，厉害的：这药够～的。❷强占：～占|～住不让。❸古代诸侯联盟的首领：春秋五～。
㶚,10,左栏第4条,bà,二级,24画,灞河，水名，在陕西省西安。
吧,10,左栏第5条,ba,一级,7画,"助词，用在句末或句中。旧也作“罢”。
1.表示可以，允许：好～，就这么办～。
2.表示推测，估量：今天不会下雨～？
3.表示命令，请求：快出去～！|还是你去～！
4.用于停顿处：说～，不好意思；不说～，问题又不能解决。
另见bā。"
罢（罷）,10,左栏第6条,ba,一级,10画,"旧同“吧”。
另见bà。"
㓦,10,右栏第1条,bāi,无,8画,［㓦划］（–hua）〈方〉1.处置，安排：这件事让他～吧。2.修理，整治：这孩子把闹钟～坏了。
掰,10,右栏第2条,bāi,一级,12画,用手把东西分开或折断：～月饼|～老玉米|把这个蛤蜊～开。
擘,10,右栏第3条,bāi,二级,17画,旧同“掰”。另见bò。
